flat_x,flat_y,flat_ci_lower,flat_ci_upper,terrace_x,terrace_y,terrace_ci_lower,terrace_ci_upper,semi_x,semi_y,semi_ci_lower,semi_ci_upper,detached_x,detached_y,detached_ci_lower,detached_ci_upper
26,4405.666634,4264.988138,4546.34513,39,3557.364509,3554.15999,3560.569029,44,3848.575837,3845.763034,3851.38864,52.64,4102.837513,4099.343107,4106.331918
29,4346.831303,4214.229856,4479.43275,43,3517.451753,3514.438421,3520.465086,49,3795.271648,3792.651517,3797.891779,57.76,4072.683674,4069.319676,4076.047671
31,4307.666045,4180.305486,4435.026603,46,3487.557488,3484.683124,3490.431852,52,3763.312186,3760.803359,3765.821013,61,4053.604586,4050.32108,4056.888091
33,4268.547424,4146.297017,4390.79783,49,3457.697766,3454.957989,3460.437544,53.63,3745.954794,3743.504898,3748.404689,64,4035.940586,4032.730084,4039.151089
35,4229.47544,4112.188796,4346.762084,51,3437.810477,3435.157681,3440.463272,55,3731.370013,3728.968734,3733.771291,66.7,4020.044486,4016.898345,4023.190628
36,4209.956937,4095.09178,4324.822094,52,3427.872589,3425.262385,3430.482793,56,3720.726463,3718.360114,3723.092813,68.7,4008.270512,4005.171178,4011.369847
37,4190.450093,4077.962927,4302.93726,53.52,3412.774351,3410.227655,3415.321047,57,3710.084835,3707.75292,3712.41675,70,4000.617847,3997.548524,4003.687171
38,4170.954909,4060.799606,4281.110211,54.2,3406.022747,3403.503957,3408.541537,58,3699.445127,3697.147131,3701.743123,72,3988.845159,3985.821345,3991.868974
39,4151.471384,4043.599018,4259.343749,55,3398.081956,3395.595579,3400.568333,59,3688.807341,3686.542726,3691.071956,73.55,3979.721862,3976.732744,3982.71098
40,4131.999518,4026.358185,4237.640851,56,3388.159421,3385.712899,3390.605943,60,3678.171475,3675.939679,3680.403271,75,3971.187588,3968.230459,3974.144717
40.15,4129.079743,4023.768396,4234.391091,57,3378.240725,3375.833292,3380.648158,61,3667.53753,3665.337968,3669.737093,76,3965.302121,3962.366781,3968.237461
