one_x,one_y,one_ci_lower,one_ci_upper,two_x,two_y,two_ci_lower,two_ci_upper,three_x,three_y,three_ci_lower,three_ci_upper,four_x,four_y,four_ci_lower,four_ci_upper,five_x,five_y,five_ci_lower,five_ci_upper,six_x,six_y,six_ci_lower,six_ci_upper,seven_x,seven_y,seven_ci_lower,seven_ci_upper,eight_x,eight_y,eight_ci_lower,eight_ci_upper,nine_x,nine_y,nine_ci_lower,nine_ci_upper,ten_x,ten_y,ten_ci_lower,ten_ci_upper
16,5092.205151,4953.567384,5230.842918,26,4729.665579,4604.083466,4855.247692,39,4496.508264,4368.15468,4624.861847,48.71,3779.581673,3772.861338,3786.302007,58.9,3638.244889,3561.363654,3715.126124,69,3578.500436,3569.518443,3587.482429,81.03,3624.472506,3608.698306,3640.246705,91.28,3603.077817,3577.609511,3628.546124,101,3487.265329,3442.635498,3531.895161,107.1628,3456.104024,3387.342845,3524.865204
18,5041.600109,4909.711524,5173.488694,29,4602.699617,4490.821071,4714.578163,42,4400.848294,4283.807433,4517.889154,52,3729.973183,3723.772601,3736.173764,63,3590.368773,3519.648575,3661.088972,74.78,3539.141632,3530.924394,3547.358869,89,3579.995248,3565.632314,3594.358183,102,3555.617198,3532.506235,3578.728161,114.1958,3449.140496,3408.373798,3489.907194,124.73,3408.433193,3348.195182,3468.671205
19,5016.325442,4887.63665,5145.014235,30,4560.424596,4452.940733,4667.908459,44,4337.164412,4227.390111,4446.938713,53.9,3701.354226,3695.444084,3707.264368,65,3567.02665,3499.1966,3634.8567,78,3517.267086,3509.461282,3525.072889,93.8,3553.259945,3539.713415,3566.806475,107.4888,3531.354475,3509.407649,3553.301302,122,3426.600566,3388.048585,3465.152548,137,3375.806155,3321.094145,3430.518166
20.05,4989.807027,4864.340291,5115.273764,31,4518.173058,4414.979502,4621.366614,45.48,4290.084401,4185.515376,4394.653426,55,3684.795504,3679.049739,3690.541268,66,3555.358559,3488.940926,3621.776193,80.37,3501.190642,3493.679866,3508.701417,96.86,3536.236397,3523.194677,3549.278117,111,3515.846981,3494.626845,3537.067117,128,3409.275374,3372.383457,3446.167291,145.6664,3353.09306,3302.058284,3404.127835
21,4965.831817,4843.150083,5088.513551,32,4475.945003,4376.924328,4574.965677,46.52,4257.024588,4156.012672,4358.036504,56,3669.748577,3664.1496,3675.347554,67,3543.692448,3478.663599,3608.721297,82.03,3489.942348,3482.633851,3497.250845,99,3524.340389,3511.643597,3537.037182,114,3502.605546,3481.993913,3523.217179,132,3397.727122,3361.918515,3433.535729,151.304,3338.465306,3289.716649,3387.213964
22,4940.612859,4820.719811,5060.505907,33,4433.740431,4338.760273,4528.720588,47.11,4238.278103,4139.24342,4337.312786,56.74,3658.617811,3653.125717,3664.109906,68,3532.028318,3468.363104,3595.693532,84,3476.606297,3469.532756,3483.679838,101,3513.229583,3500.848592,3525.610573,116.42,3491.929698,3471.799903,3512.059493,136,3386.18037,3351.43433,3420.92641,156,3326.369399,3279.458385,3373.280413
22,4940.612859,4820.719811,5060.505907,33.36,4418.552533,4324.991345,4512.113722,48,4210.011286,4113.898701,4306.123871,57.28,3650.497486,3645.082398,3655.912573,69,3520.366167,3458.037819,3582.694516,85.2,3468.489638,3461.556304,3475.422971,102.6,3504.345777,3492.212546,3516.479007,118.59,3482.360961,3462.65588,3502.066042,139,3377.521291,3343.557405,3411.485178,160.97,3313.655533,3268.620792,3358.690275
22.55,4926.750347,4808.325103,5045.17559,34,4391.559342,4300.470284,4482.648399,49,4178.26772,4085.344283,4271.191158,58,3639.673175,3634.359398,3644.986952,69.86,3510.338302,3449.136932,3571.539671,87,3456.324336,3449.596855,3463.051817,104,3496.575975,3484.655759,3508.496192,120,3476.145633,3456.712583,3495.578684,142,3368.863057,3335.667678,3402.058435,164.03,3305.872593,3261.956753,3349.788433
23,4915.41247,4798.151818,5032.673121,34.9844,4350.059214,4262.635796,4437.482633,49,4178.26772,4085.344283,4271.191158,59,3624.644699,3619.468891,3629.820506,70,3508.705997,3447.686016,3569.725978,88,3449.570858,3442.955283,3456.186432,105,3491.028134,3479.257807,3502.79846,122,3467.332464,3448.279669,3486.385259,144.05,3362.947082,3330.26851,3395.625653,168,3295.826131,3253.319267,3338.332995
23,4915.41247,4798.151818,5032.673121,35,4349.401736,4262.034981,4436.76849,50,4146.542041,4056.698336,4236.385747,60,3609.622373,3604.58112,3614.663625,71,3497.047807,3437.305853,3556.789761,89,3442.820967,3436.315438,3449.326496,106.44,3483.042194,3471.484241,3494.600146,123.74,3459.667774,3440.94019,3478.395358,147,3354.434542,3322.487043,3386.38204,171,3288.272566,3246.79749,3329.747642
