new_x,new_y,new_ci_lower,new_ci_upper,old_x,old_y,old_ci_lower,old_ci_upper
33,4732.689171,4685.535566,4779.842776,35,3676.161681,3649.41789,3702.905473
38,4674.509468,4629.995403,4719.023532,39,3655.851519,3630.123775,3681.579263
41,4639.65022,4596.677724,4682.622716,42,3640.620696,3615.633564,3665.607827
44,4604.827404,4563.36099,4646.293818,44,3630.46767,3605.963157,3654.972182
46,4581.632432,4541.148584,4622.11628,46,3620.315329,3596.283915,3644.346742
47.39,4565.521464,4525.709643,4605.333285,48,3610.163673,3586.595269,3633.732077
49,4546.870334,4507.825144,4585.915523,50,3600.012702,3576.896615,3623.128789
50,4535.291063,4496.715398,4573.866728,51,3594.937473,3572.043338,3617.831608
51.20093,4521.39052,4483.3717,4559.40934,53,3584.78753,3562.328472,3607.246588
53,4500.57754,4463.377913,4537.777166,54,3579.712815,3557.466711,3601.958919
54,4489.014461,4452.262042,4525.76688,55,3574.638272,3552.601947,3596.674596
55,4477.45543,4441.144152,4513.766709,56,3569.563899,3547.734088,3591.39371
56,4465.900447,4430.024034,4501.776861,57,3564.489698,3542.863043,3586.116354
56.81,4456.543878,4421.014958,4492.072799,57.828768,3560.284493,3538.823593,3581.745392
57.3,4450.885021,4415.564195,4486.205847,58.48,3556.980195,3535.647844,3578.312547
58,4442.802625,4407.776246,4477.829004,59.09,3553.885171,3532.671846,3575.098497
59,4431.259785,4396.648123,4465.871448,60,3549.268123,3528.229824,3570.306422
60,4419.720994,4385.516867,4453.92512,61,3544.194607,3523.345062,3565.044152
60,4419.720994,4385.516867,4453.92512,62,3539.121262,3518.456619,3559.785906
61,4408.18625,4374.382235,4441.990266,63,3534.048089,3513.564392,3554.531786
62,4396.655555,4363.243974,4430.067135,64,3528.975087,3508.668276,3549.281898
63,4385.128907,4352.101829,4418.155985,64.4,3526.945934,3506.708716,3547.183152
63.52,4379.13665,4346.30629,4411.967009,65,3523.902256,3503.768164,3544.036348
64,4373.606307,4340.955533,4406.25708,66,3518.829596,3498.863948,3538.795244
65,4362.087755,4329.804818,4394.370691,67,3513.757108,3493.955521,3533.558695
66,4350.573251,4318.649406,4382.497095,67.62,3510.612251,3490.910133,3530.314369
