band_g_x,band_g_y,band_g_ci_lower,band_g_ci_upper,band_f_x,band_f_y,band_f_ci_lower,band_f_ci_upper,band_e_x,band_e_y,band_e_ci_lower,band_e_ci_upper,band_d_x,band_d_y,band_d_ci_lower,band_d_ci_upper,band_c_x,band_c_y,band_c_ci_lower,band_c_ci_upper,band_b_x,band_b_y,band_b_ci_lower,band_b_ci_upper,band_a_x,band_a_y,band_a_ci_lower,band_a_ci_upper
32,3451.692753,3412.765421,3490.620085,34,3774.122147,3290.298603,4257.945691,35,3492.853452,3485.50944,3500.197465,36,3708.832161,3687.709634,3729.954688,32.62,3958.393047,3909.37384,4007.412253,35,4496.592829,4385.441076,4607.744582,38.03,4452.122234,4052.413801,4851.830666
36.78,3435.782888,3398.211757,3473.35402,39.7,3748.93204,3283.609655,4214.254425,40,3475.501219,3468.513069,3482.489369,40.58,3682.087506,3662.079212,3702.095799,37,3923.860671,3877.147945,3970.573397,39.58,4449.838264,4343.534178,4556.142351,46.04,4369.002682,3999.137481,4738.867884
40.05,3424.909873,3388.239344,3461.580402,43,3734.350451,3279.434444,4189.266457,44,3461.638367,3454.926088,3468.350646,43.76,3663.550742,3644.292307,3682.809177,39,3908.121783,3862.431745,3953.811821,42,4425.177479,4321.3588,4528.996158,50,4328.308413,3972.449989,4684.166837
43,3415.108502,3379.230031,3450.986973,46.11,3720.609854,3275.279031,4165.940677,47,3451.252274,3444.741164,3457.763383,46,3650.509473,3631.766256,3669.252689,41,3892.401277,3847.71325,3937.089304,44,4404.819412,4303.012047,4506.626778,52.612,4301.610967,3954.701342,4648.520592
45.8,3405.812191,3370.666456,3440.957927,49,3707.84252,3271.213128,4144.471911,49,3444.333471,3437.953509,3450.713433,48.02,3638.760434,3620.471872,3657.048996,43,3876.699153,3832.991248,3920.407057,46,4384.481932,4284.645057,4484.318808,55,4277.303432,3938.36426,4616.242605
48,3398.512514,3363.928761,3433.096267,51,3699.007704,3268.277604,4129.737805,51.9,3434.308681,3428.114348,3440.503015,50,3627.254535,3609.401815,3645.107255,44,3868.854984,3825.628532,3912.081437,47.16,4372.695627,4273.982098,4471.409155,57,4257.01915,3924.594755,4589.443545
50,3391.879932,3357.796069,3425.963794,53.02,3690.08513,3265.20679,4114.963469,53.68,3428.159916,3422.076689,3434.243143,52,3615.642954,3598.219952,3633.065956,46,3853.180434,3810.898821,3895.462046,49,4354.014312,4257.05195,4450.976673,58,4246.902232,3917.678767,4576.125697
51.66,3386.377411,3352.700179,3420.054644,55,3681.339815,3262.089196,4100.590434,55,3423.60231,3417.600006,3429.604613,53,3609.841134,3592.628802,3627.053467,47,3845.350052,3803.531473,3887.16863,50,4343.868731,4247.841755,4439.895707,60,4226.718844,3903.781344,4549.656344
53,3381.937286,3348.582632,3415.291941,57,3672.506742,3258.827535,4086.185949,57,3416.700338,3410.818141,3422.582535,54.5,3601.14337,3584.24154,3618.045201,48,3837.524265,3796.162218,3878.886312,51,4333.728298,4238.624822,4428.831773,61,4216.652373,3896.79868,4536.506067
55,3375.313008,3342.430079,3408.195937,58,3668.090423,3257.152845,4079.028001,58,3413.25093,3407.427609,3419.074252,55.37,3596.101397,3579.376518,3612.826276,49.1,3828.921208,3788.053608,3869.788808,52,4323.59301,4229.400846,4417.785175,62,4206.602719,3889.792545,4523.412893
56,3372.002115,3339.350548,3404.653681,60,3659.25822,3253.71279,4064.803651,59.19,3409.147505,3403.393181,3414.90183,56.16,3591.524789,3574.958522,3608.091056,50.46,3818.292388,3778.02452,3858.560257,53,4313.46287,4220.169512,4406.756227,63.04,4196.168916,3882.480574,4509.857258
57.85,3365.879151,3333.647441,3398.110862,61,3654.842337,3251.946215,4057.738459,60.8,3403.598184,3397.935303,3409.261066,57.08,3586.197152,3569.813046,3602.581257,51.67,3808.84301,3769.097574,3848.588447,54.72,4296.051067,4204.273475,4387.828659,65,4176.554649,3868.626823,4484.482475
59,3362.074417,3330.098214,3394.05062,62.2,3649.543469,3249.784226,4049.302711,62,3399.463818,3393.867611,3405.060025,58,3580.871756,3564.666985,3597.076526,52.51,3802.287068,3762.897931,3841.676206,56,4283.103327,4192.428126,4373.778529,66,4166.572257,3861.520261,4471.624252
60,3358.766845,3327.009315,3390.524376,63.926,3641.922296,3246.591948,4037.252644,63,3396.01967,3390.478025,3401.561315,59,3575.085823,3559.072676,3591.09897,53,3798.464266,3759.280497,3837.648035,57,4272.993773,4183.164086,4362.82346,67,4156.606681,3854.386906,4458.826455
61,3355.460104,3323.917917,3387.002291,65,3637.180255,3244.555084,4029.805426,64,3392.576574,3387.088554,3398.064593,60,3569.302539,3553.477459,3585.127619,54,3790.666053,3751.895622,3829.436485,58,4262.889366,4173.891014,4351.887717,68,4146.65792,3847.226062,4446.089779
62,3352.154193,3320.823955,3383.484431,66,3632.765098,3242.622897,4022.907298,65,3389.134529,3383.699172,3394.569886,61,3563.521902,3547.881216,3579.162588,55,3782.872436,3744.507399,3821.237473,58.7,4255.819342,4167.3943,4344.244384,70,4126.810847,3832.819085,4420.802608
63,3348.849112,3317.727366,3379.970859,67,3628.350085,3240.655642,4016.044528,66,3385.693537,3380.309853,3391.077221,62,3557.743913,3542.283826,3573.203999,55,3782.872436,3744.507399,3821.237473,59.08,4251.982386,4163.865543,4340.099229,70,4126.810847,3832.819085,4420.802608
64,3345.544862,3314.628083,3376.461642,68,3623.935218,3238.652654,4009.217783,67,3382.253596,3376.92057,3387.586623,63,3551.968572,3536.685167,3567.251976,56,3775.083414,3737.115603,3813.051225,60,4242.69599,4155.316349,4330.075631,71.9,4108.018429,3819.022783,4397.014074
65,3342.241443,3311.526041,3372.956845,69,3619.520496,3236.613258,4002.427734,68,3378.814708,3373.531296,3384.09812,64,3546.195878,3531.085112,3561.306645,56.83,3768.622016,3730.977533,3806.266498,61,4232.607022,4146.014025,4319.200019,73,4097.166354,3810.984608,4383.3481
66,3338.938854,3308.421172,3369.456535,70,3615.105919,3234.536777,3995.675062,68.61,3376.717503,3371.46383,3381.971175,64.59,3542.791231,3527.780371,3557.802091,57,3767.298987,3729.720003,3804.877972,62,4222.523201,4136.701213,4308.345189,74,4087.318488,3803.64379,4370.993185
66.87,3336.066276,3305.717586,3366.414967,71,3610.691488,3232.422525,3988.96045,69.1,3375.033146,3369.80307,3380.263221,65,3540.425833,3525.48353,3555.368135,58,3759.519157,3722.320365,3796.717948,62.11,4221.414295,4135.676147,4307.152443,75,4077.487437,3796.270413,4358.704462
67.48,3334.052545,3303.820638,3364.284453,72,3606.277201,3230.269812,3982.284591,70,3371.940087,3366.75266,3377.127514,66,3534.658435,3519.880292,3549.436578,58.69,3754.153753,3717.212137,3791.095368,63,4212.444526,4127.377532,4297.51152,76,4067.673203,3788.86373,4346.482675
68,3332.336166,3302.202688,3362.469644,72.86,3602.481031,3228.387186,3976.574876,71,3368.504354,3363.363242,3373.645466,67,3528.893685,3514.275262,3543.512108,59,3751.743921,3714.916452,3788.57139,64,4202.370998,4118.0426,4286.699396,77,4057.875784,3781.422998,4334.32857
69,3329.036068,3299.088938,3358.983198,73.53,3599.523624,3226.900134,3972.147114,72,3365.069673,3359.973719,3370.165628,67.54,3525.781821,3511.247753,3540.315889,60,3743.973281,3707.508023,3780.43854,65,4192.302616,4108.696029,4275.909203,77,4057.875784,3781.422998,4334.32857
70,3325.736801,3295.972092,3355.501509,74.14,3596.831116,3225.530551,3968.131681,72.09,3364.760604,3359.668655,3369.852552,68,3523.131583,3508.668305,3537.594861,60.06,3743.507189,3707.063368,3779.95101,66,4182.239381,4099.337429,4265.141334,78,4048.09518,3773.947469,4322.242891
70.52,3324.02151,3294.350086,3353.692933,75,3593.035213,3223.573926,3962.496501,73,3361.636045,3356.584061,3366.688028,69,3517.372128,3503.059283,3531.684974,61,3736.207237,3700.094832,3772.319643,66.71,4175.097609,4092.685305,4257.509913,78,4048.09518,3773.947469,4322.242891
71,3322.438364,3292.852082,3352.024645,76,3588.621507,3221.260371,3955.982644,74,3358.203468,3353.19424,3363.212696,69.72,3513.226961,3499.019432,3527.43449,62,3728.445789,3692.676633,3764.214944,67.26,4169.567033,4087.527855,4251.606211,79,4038.331393,3766.436401,4310.226385
72,3319.140757,3289.728841,3348.552673,77,3584.207947,3218.904841,3949.511053,74.58,3356.213055,3351.228057,3361.198053,70,3511.615322,3497.448059,3525.782585,62.43,3725.109779,3689.485206,3760.734351,68,4162.128351,4080.582562,4243.674141,79,4038.331393,3766.436401,4310.226385
73,3315.843981,3286.602299,3345.085662,78,3579.794532,3216.506625,3943.082438,75,3354.771943,3349.804226,3359.73966,71,3505.861163,3491.834491,3519.887836,63,3720.688935,3685.253177,3756.124694,69,4152.080556,4071.185501,4232.975612,80,4028.584421,3758.88905,4298.279792
73.575,3313.94871,3284.803017,3343.094404,78.6,3577.146552,3215.04691,3939.246194,76,3351.34147,3346.413988,3356.268951,71.4,3503.560241,3489.588376,3517.532106,64,3712.936678,3677.824214,3748.049142,69.91,4142.941535,4062.622353,4223.260718,81,4018.854265,3751.30468,4286.40385
74,3312.548035,3283.472389,3341.62368,79.04,3575.204734,3213.966434,3936.443033,76.8,3348.597849,3343.701618,3353.49408,72,3500.109652,3486.21844,3514.000865,64.8,3706.738181,3671.87691,3741.599452,70,4142.037908,4061.774824,4222.300991,82,4009.140924,3743.682557,4274.599291
75,3309.252919,3280.339045,3338.166794,80,3570.968136,3211.579289,3930.356983,77,3347.912049,3343.023499,3352.800599,73,3494.360789,3480.599766,3508.121812,65,3705.189016,3670.389493,3739.988539,71,4132.000406,4052.350133,4211.650678,83,3999.4444,3736.021959,4262.86684
76,3305.958634,3277.202197,3334.715071,81,3566.555156,3209.048749,3924.061564,78,3344.48368,3339.632727,3349.334632,73,3494.360789,3480.599766,3508.121812,66,3697.445949,3662.948762,3731.943137,71,4132.000406,4052.350133,4211.650678,84,3989.764691,3728.32217,4251.207212
76.3509,3304.802866,3276.100635,3333.505098,82,3562.142322,3206.472682,3917.811962,78.78,3341.810282,3336.987711,3346.632853,74,3488.614574,3474.978329,3502.250818,67,3689.707479,3655.501772,3723.913185,72,4121.96805,4042.911032,4201.025068,85,3980.101798,3720.582486,4239.621109
77,3302.66518,3274.061781,3331.268579,82.5,3559.935959,3205.167355,3914.704563,79,3341.056363,3336.241644,3345.871081,74.97461,3483.016802,3469.496831,3496.536774,67,3689.707479,3655.501772,3723.913185,73,4111.940841,4033.457126,4190.424557,86,3970.45572,3712.802217,4228.109223
78,3299.372555,3270.917728,3327.827383,83,3557.729632,3203.850382,3911.608883,80,3337.630097,3332.850221,3342.409973,75,3482.871006,3469.353992,3496.38802,68,3681.973603,3648.048273,3715.898933,74,4101.918779,4023.988023,4179.849536,87,3960.826458,3704.980689,4216.672228
78.57,3297.496131,3269.123967,3325.868296,84,3553.317088,3201.181147,3905.453029,80.7,3335.232338,3330.476007,3339.988668,76,3477.130086,3463.726618,3490.533555,69,3674.244323,3640.58802,3707.900627,74.6,4095.908012,4018.299106,4173.516919,88,3951.214012,3697.117243,4205.310781
79,3296.080762,3267.769975,3324.391548,85,3548.904689,3198.464282,3899.345096,81,3334.204884,3329.458429,3338.951339,76.46,3474.490152,3461.136969,3487.843336,69,3674.244323,3640.58802,3707.900627,75.1,4090.900455,4013.553996,4168.246914,89,3941.618382,3689.211242,4194.025521
80,3292.789798,3264.618456,3320.961141,85.7,3545.816096,3196.533765,3895.098427,82,3330.780723,3326.06624,3335.495206,77,3471.391814,3458.096072,3484.687556,70,3666.519639,3633.120769,3699.91851,76,4081.890094,4005.002687,4158.777502,90,3932.039567,3681.26207,4182.817064
80.96,3289.631255,3261.589396,3317.673114,86,3544.492435,3195.699094,3893.285776,82.42,3329.342889,3324.641395,3334.044382,78,3465.65619,3452.462225,3478.850155,70.88,3659.725718,3626.54361,3692.907827,77,4071.883472,3995.485698,4148.281246,91,3922.477568,3673.269135,4171.686001
81.1,3289.170698,3261.147359,3317.194036,87,3540.080326,3192.8849,3887.275753,83,3327.357613,3322.673625,3332.041602,78,3465.65619,3452.462225,3478.850155,71,3658.79955,3625.646281,3691.95282,77,4071.883472,3995.485698,4148.281246,92,3912.932385,3665.23187,4160.6329
82,3286.210363,3258.303866,3314.116859,88,3535.668363,3190.021023,3881.315702,84,3323.935556,3319.280558,3328.590554,79,3459.923214,3446.824949,3473.021479,72,3651.084057,3618.164324,3684.003791,78,4061.881996,3985.952006,4137.811986,93,3903.404017,3657.149738,4149.658297
83,3282.921891,3255.140672,3310.70311,89,3531.256544,3187.106798,3875.406291,84,3323.935556,3319.280558,3328.590554,79.72,3455.79711,3442.763918,3468.830303,73,3643.37316,3610.67467,3676.071649,79,4051.885667,3976.401253,4127.370081,94,3893.892466,3649.022233,4138.762699
83.3945,3281.624817,3253.891691,3309.357943,89.58,3528.697756,3185.393218,3872.002295,85,3320.51455,3315.887013,3325.142088,80,3454.192885,3441.184121,3467.201649,73,3643.37316,3610.67467,3676.071649,79,4051.885667,3976.401253,4127.370081,96,3874.919809,3632.629239,4117.21038
84,3279.634249,3251.973464,3307.295034,90.14,3526.227248,3183.722327,3868.73217,85.8,3317.778503,3313.171815,3322.385192,81,3448.465204,3435.539626,3461.390783,74,3635.666858,3603.177101,3668.156615,80,4041.894484,3966.833094,4116.955874,97,3865.458704,3624.362909,4106.5545
85,3276.347438,3248.802183,3303.892693,91,3522.433343,3181.124686,3863.742,86,3317.094597,3312.492964,3321.69623,81,3448.465204,3435.539626,3461.390783,75,3627.965151,3595.671404,3660.258898,81,4031.908448,3957.247197,4106.5697,98,3856.014416,3616.049529,4095.979302
85.64,3274.244314,3246.7704,3301.718229,92,3518.02196,3178.055523,3857.988397,87,3313.675695,3309.098386,3318.253004,82,3442.740171,3429.891351,3455.588992,75.38,3625.039708,3592.817067,3657.262349,82,4021.927559,3947.64324,4096.211877,99,3846.586942,3607.688775,4085.48511
86,3273.061457,3245.626773,3300.496141,93,3513.610723,3174.933462,3852.287983,87.64,3311.48815,3306.925568,3316.050732,82.95,3437.303843,3424.521895,3450.08579,76,3620.26804,3588.15738,3652.378701,83,4011.951816,3938.02092,4085.882712,101,3827.782443,3590.824078,4064.740808
87,3269.776307,3242.447178,3297.105435,94,3509.19963,3171.7579,3846.64136,88,3310.257845,3305.703257,3314.812434,83,3437.017786,3424.239194,3449.796379,77,3612.575525,3580.634838,3644.516212,84,4001.981219,3928.379948,4075.582491,103,3809.045207,3573.767134,4044.323279
88,3266.491987,3239.263346,3293.720628,95,3504.788683,3168.528252,3841.049114,89,3306.841048,3302.307553,3311.374542,84,3431.298049,3418.583057,3444.013041,78,3604.887605,3573.103599,3636.671612,85,3992.01577,3918.720053,4065.311486,104,3799.701812,3565.166251,4034.237373
88.29,3265.539689,3238.339234,3292.740144,96,3500.377881,3165.243949,3835.511812,89.89,3303.800982,3299.284877,3308.317088,84.1,3430.726221,3418.017221,3443.435221,78.12,3603.965364,3572.199258,3635.73147,86,3982.055466,3909.040983,4055.06995,105,3790.375233,3556.517022,4024.233444
89,3263.208497,3236.075223,3290.341771,97,3495.967224,3161.904444,3830.030004,90,3303.425302,3298.911255,3307.939349,85,3425.580959,3412.922852,3438.239066,79,3597.204281,3565.563498,3628.845064,87,3972.10031,3899.342508,4044.858112,107,3771.772523,3539.073618,4004.471427
90,3259.925838,3232.882762,3286.968914,98,3491.556712,3158.509208,3824.604216,91,3300.010608,3295.514342,3304.506874,86,3419.866518,3407.258501,3432.474534,80,3589.525552,3558.014384,3621.036721,88,3962.1503,3889.624416,4034.676184,108,3762.496391,3530.279619,3994.713163
91,3256.644009,3229.685915,3283.602103,99,3487.146345,3155.057735,3819.234956,92,3296.596966,3292.116798,3301.077134,86,3419.866518,3407.258501,3432.474534,81,3581.851419,3550.456119,3613.246719,89,3952.205437,3879.886519,4024.524354,109,3753.237075,3521.437625,3985.036524
92,3253.363011,3226.484639,3280.241383,100.11,3482.251008,3151.160157,3813.34186,93,3293.184376,3288.718605,3297.650147,87,3414.154724,3401.589934,3426.719513,81.62,3577.095764,3545.765347,3608.426182,89.28,3949.421797,3877.156336,4021.687258,111,3734.76889,3503.610585,3965.927195
93,3250.082843,3223.27889,3276.886796,101.55,3475.900567,3145.998679,3805.802456,93.41,3291.785518,3287.325155,3296.245882,87.92,3408.902212,3396.371078,3421.433345,82,3574.181882,3542.888584,3605.475179,90.44,3937.893875,3865.828829,4009.95892,112,3725.560021,3494.626132,3956.49391
94,3246.803505,3220.068629,3273.538382,103,3469.506331,3140.680162,3798.332499,94,3289.772838,3285.319749,3294.225927,88,3408.445577,3395.917092,3420.974063,83,3566.516939,3535.311675,3597.722204,91.64,3925.975726,3854.082167,3997.869284,113,3716.367968,3485.594875,3947.141061
95,3243.524998,3216.853821,3270.196176,104,3465.09669,3136.940742,3793.252638,95,3286.362352,3281.920218,3290.804486,89,3402.739079,3390.239926,3415.238232,84,3558.856593,3527.725305,3589.987881,93,3912.477449,3840.733966,3984.220931,114,3707.19273,3476.517238,3937.868223
96,3240.247322,3213.634431,3266.860212,105,3460.687194,3133.142562,3788.231826,96,3282.952918,3278.52,3287.385836,90,3397.035229,3384.558398,3409.512059,85,3551.200842,3520.129405,3582.27228,94,3902.558318,3830.895077,3974.22156,116,3688.892703,3458.224774,3919.560631
97,3236.970476,3210.410429,3263.530522,106.67,3453.32366,3126.667731,3779.97959,97,3279.544536,3275.119086,3283.969985,90.38,3394.86846,3382.398269,3407.338651,85.94,3544.008626,3512.980525,3575.036728,95.18,3890.860364,3819.258933,3962.461796,117,3679.767912,3449.011044,3910.524781
98,3233.69446,3207.181788,3260.207132,108,3447.459579,3121.392376,3773.526781,98,3276.137205,3271.71747,3280.55694,91,3391.334026,3378.872483,3403.795568,86.24,3541.714093,3510.697181,3572.731006,97,3872.831807,3801.255927,3944.407687,119,3661.568779,3430.451665,3892.685893
99,3230.419274,3203.948482,3256.890067,109,3443.050664,3117.35622,3768.745108,99,3272.730927,3268.315148,3277.146706,92,3385.635471,3373.182167,3398.088775,87,3535.903127,3504.908835,3566.897419,98,3862.933263,3791.335442,3934.531083,120,3652.494436,3421.107381,3883.881491
100,3227.144919,3200.710491,3253.579348,111,3434.23327,3109.103518,3759.363022,100,3269.3257,3264.912115,3273.739286,93,3379.939564,3367.487446,3392.391681,88,3528.261163,3497.284123,3559.238202,100,3843.151614,3771.433716,3914.869512,121,3643.436908,3411.72101,3875.152807
101.71,3221.547697,3195.162621,3247.932772,112,3429.824791,3104.88667,3754.762912,101,3265.921526,3261.508371,3270.334681,94,3374.246304,3361.788331,3386.704278,89,3520.623794,3489.649797,3551.597791,101.35,3829.810639,3757.954631,3901.666648,123,3625.372301,3392.825166,3857.919436
103,3217.326837,3190.968245,3243.685429,114,3421.008268,3096.271474,3745.745061,102,3262.518403,3258.103918,3266.932889,95,3368.555693,3356.084842,3381.026544,90,3512.991021,3482.005884,3543.976158,103,3813.517741,3741.431112,3885.60437,125,3607.374956,3373.77079,3840.979122
104,3214.055804,3187.711369,3240.400238,115,3416.600224,3091.873027,3741.327421,103,3259.116333,3254.698759,3263.533907,96,3362.867729,3350.377013,3375.358445,91,3505.362843,3474.35243,3536.373256,104,3803.650077,3731.390918,3875.909235,126,3598.401507,3364.18637,3832.616644
105.86,3207.973891,3181.640973,3234.306809,117,3407.784572,3082.894435,3732.674709,104,3255.715314,3251.2929,3260.137729,97,3357.182413,3344.664888,3369.699938,92.2,3496.215096,3465.155786,3527.274406,106,3783.930187,3711.252849,3856.607526,128,3580.505057,3344.90774,3816.102373
