Zero,,,,One,,,,Two,,,,Three,,,,Four,,,
x,y,ci_lower,ci_upper,x,y,ci_lower,ci_upper,x,y,ci_lower,ci_upper,x,y,ci_lower,ci_upper,x,y,ci_lower,ci_upper
32,3943.094717,3894.879226,3991.310208,43.21,3404.702455,3398.911673,3410.493236,52,3210.894024,3202.435682,3219.352367,60,3133.237018,3111.986982,3154.487053,70,3090.962616,3071.155714,3110.769518
36.14,3909.857175,3864.162935,3955.551414,49,3386.474333,3381.026226,3391.92244,58,3201.279361,3193.2173,3209.341423,66,3126.118828,3105.870488,3146.367168,76,3085.541278,3066.413227,3104.66933
39,3886.925878,3842.918442,3930.933314,52.22,3376.345342,3371.081185,3381.6095,61,3196.472723,3188.602845,3204.342602,70,3121.380304,3101.778782,3140.981825,81,3081.046021,3062.469271,3099.622772
41,3870.904526,3828.046971,3913.76208,55,3367.605174,3362.495544,3372.714803,64,3191.666548,3183.984485,3199.348611,73,3117.830051,3098.701844,3136.958259,84,3078.358696,3060.106073,3096.611319
42.4,3859.696689,3817.628357,3901.765021,57,3361.319997,3356.318875,3366.32112,66,3188.462688,3180.903249,3196.022127,75,3115.46495,3096.646382,3134.283518,87,3075.678743,3057.745025,3093.61246
44,3846.894903,3805.711708,3888.078097,59,3355.037092,3350.142087,3359.932097,67.62,3185.867712,3178.406,3193.329424,77,3113.101236,3094.587398,3131.615075,90,3073.006161,3055.385926,3090.626395
45.12,3837.938203,3797.363366,3878.51304,60,3351.896492,3347.053602,3356.739381,69,3183.657284,3176.277646,3191.036921,79,3110.738909,3092.524721,3128.953098,93,3070.34095,3053.028563,3087.653337
47,3822.912167,3783.336471,3862.487863,62,3345.616994,3340.87635,3350.357638,70.82,3180.74223,3173.469119,3188.015341,80,3109.558266,3091.491942,3127.624589,96,3067.683111,3050.672715,3084.693508
48,3814.923897,3775.867838,3853.979956,63,3342.478097,3337.787542,3347.168653,72,3178.852342,3171.647217,3186.057466,82,3107.198019,3089.423392,3124.972647,98,3065.915314,3049.102876,3082.727753
49,3806.938614,3768.393579,3845.483649,64,3339.339768,3334.698583,3343.980953,73,3177.250797,3170.102601,3184.398993,83,3106.018416,3088.387572,3123.649261,100,3064.150793,3047.533535,3080.768051
50,3798.956319,3760.91337,3836.999268,65.05,3336.045134,3331.45499,3340.635278,74,3175.649304,3168.55739,3182.741217,85,3103.66025,3086.312723,3121.007778,102,3062.389549,3045.964619,3078.814479
51,3790.977011,3753.426873,3828.527149,66.22,3332.374707,3327.840444,3336.908971,75.25,3173.64751,3166.625018,3180.670001,86,3102.481688,3085.273643,3119.689732,104,3060.631581,3044.396051,3076.867111
52,3783.00069,3745.933741,3820.06764,67.2,3329.300932,3324.812642,3333.789221,76.73,3171.277489,3164.335815,3178.219163,87,3101.303472,3084.233425,3118.373518,106,3058.876889,3042.827752,3074.926025
53,3775.027357,3738.433615,3811.6211,68,3326.792131,3322.340791,3331.243471,78,3169.243845,3162.370292,3176.117398,89,3098.94808,3082.14947,3115.746689,108,3057.125473,3041.259643,3072.991303
54,3767.057012,3730.926124,3803.187899,69,3323.656641,3319.250735,3328.062548,79,3167.642609,3160.821872,3174.463346,90,3097.770904,3081.105679,3114.436129,110,3055.377333,3039.691641,3071.063026
54.59,3762.355909,3726.493097,3798.218721,70,3320.52172,3316.160386,3324.883054,79.9,3166.20154,3159.427703,3172.975377,91,3096.594075,3080.060642,3113.127508,111,3054.504492,3038.907654,3070.101331
55,3759.089654,3723.410889,3794.768418,71,3317.387366,3313.069719,3321.705013,80.56,3165.144783,3158.40495,3171.884616,93,3094.241457,3077.966716,3110.516198,113,3052.761267,3037.339654,3068.182881
56,3751.125283,3715.88752,3786.363046,72,3314.25358,3309.978707,3318.528454,81.23,3164.072037,3157.36638,3170.777694,94,3093.065669,3076.91777,3109.213567,115,3051.021318,3035.771545,3066.271092
56,3751.125283,3715.88752,3786.363046,72.43,3312.906227,3308.649459,3317.162995,82,3162.839208,3156.172395,3169.506022,95,3091.890227,3075.867462,3107.912992,116,3050.152573,3034.987423,3065.317723
57,3743.1639,3708.355616,3777.972183,73,3311.120362,3306.887324,3315.353401,83,3161.238178,3154.621106,3167.85525,96,3090.715131,3074.815761,3106.614501,118,3048.417538,3033.418984,3063.416093
57.99,3735.285073,3700.890224,3769.679923,74,3307.987712,3303.795542,3312.179882,84,3159.637198,3153.069055,3166.205342,97,3089.540383,3073.762639,3105.318127,119,3047.55125,3032.634645,3062.467855
58,3735.205504,3700.81477,3769.596238,75,3304.85563,3300.703335,3309.007925,85,3158.03627,3151.516224,3164.556317,99,3087.191926,3071.652004,3102.731849,121,3045.82113,3031.065669,3060.576591
59,3727.250096,3693.264564,3761.235627,75.04,3304.730359,3300.579637,3308.88108,86,3156.435394,3149.962595,3162.908193,100,3086.018218,3070.594428,3101.442008,122,3044.957299,3030.281009,3059.633588
59.6,3722.478285,3688.729773,3756.226797,76,3301.724116,3297.610673,3305.837558,87,3154.834569,3148.408149,3161.260988,101,3084.844857,3069.535305,3100.154409,124,3043.232093,3028.711283,3057.752903
60,3719.297675,3685.704577,3752.890773,77,3298.593169,3294.51753,3302.668809,87.79,3153.569953,3147.179547,3159.960359,102,3083.671842,3068.474602,3098.869083,125,3042.370719,3027.926194,3056.815244
61,3711.348242,3678.134379,3744.562105,77.25,3297.810522,3293.744165,3301.876878,88,3153.233795,3146.852868,3159.614722,103,3082.499174,3067.412286,3097.586062,127,3040.650428,3026.355501,3054.945355
61.02,3711.189283,3677.982868,3744.395699,78,3295.462791,3291.423876,3299.501706,89,3151.633073,3145.296732,3157.969413,105,3080.154879,3065.282687,3095.02707,128,3039.791511,3025.569873,3054.013149
62,3703.401796,3670.553537,3736.250055,79,3292.33298,3288.329682,3296.336279,90,3150.032402,3143.739722,3156.325081,106,3078.983251,3064.215338,3093.751165,129.4772,3038.524217,3024.408967,3052.639468
63,3695.458337,3662.961615,3727.95506,79.16,3291.832263,3287.834559,3295.829968,91,3148.431782,3142.18182,3154.681744,107,3077.81197,3063.146244,3092.477697,131,3037.219675,3023.211715,3051.227634
63,3695.458337,3662.961615,3727.95506,80,3289.203738,3285.23492,3293.172555,92,3146.831214,3140.623005,3153.039423,108,3076.641036,3062.075373,3091.2067,132,3036.364034,3022.425197,3050.302871
64,3687.517866,3655.358176,3719.677556,81,3286.075063,3282.139562,3290.010564,93,3145.230697,3139.063258,3151.398136,109,3075.470449,3061.002691,3089.938207,133.5,3035.082109,3021.244939,3048.919278
64.88,3680.532723,3648.657278,3712.408169,81,3286.075063,3282.139562,3290.010564,93.6978,3144.113887,3137.974304,3150.253469,110,3074.300208,3059.928166,3088.672251,135,3033.802026,3020.064068,3047.539985
65,3679.580383,3647.742785,3711.41798,82,3282.946956,3279.043577,3286.850335,94,3143.630232,3137.50256,3149.757903,111,3073.130315,3058.851763,3087.408866,136,3032.949662,3019.276459,3046.622865
