Smallest quintile,,,,Second smallest,,,,Middle,,,,Second biggest,,,,Biggest quintile,,,
x,y,ci_lower,ci_upper,x,y,ci_lower,ci_upper,x,y,ci_lower,ci_upper,x,y,ci_lower,ci_upper,x,y,ci_lower,ci_upper
31.57,4592.625228,4286.229391,4899.021065,31.68,4134.999683,4109.310453,4160.688914,34.07,4017.877573,3997.95647,4037.798676,36,3628.796904,3619.372924,3638.220884,34.04,3509.975063,3499.76153,3520.188597
36,4524.005183,4232.241849,4815.768516,36.67,4085.676398,4061.547,4109.805796,38.66,3975.62321,3956.849274,3994.397145,40.8,3606.915757,3597.946934,3615.884579,39.42,3493.307595,3483.548791,3503.066398
38.6,4483.752181,4200.340265,4767.164098,39,4062.674148,4039.251908,4086.096387,41.13,3952.98425,3934.807552,3971.160948,43.61,3594.107765,3585.397174,3602.818356,43,3482.229532,3472.762979,3491.696084
40.68,4451.560759,4174.691087,4728.43043,40.74,4045.508319,4022.604403,4068.412235,43.2,3934.064994,3916.377123,3951.752865,46,3583.215062,3574.718809,3591.711316,45.44,3474.68504,3465.412503,3483.957577
42.3,4426.495353,4154.629509,4698.361198,42.14,4031.704069,4009.210724,4054.197414,45,3917.653105,3900.381135,3934.925074,48,3574.100486,3565.779564,3582.421409,47.7,3467.70139,3458.604565,3476.798216
44,4400.198516,4133.492133,4666.904899,43.81,4015.246126,3993.234538,4037.257714,46.9806,3899.637164,3882.812436,3916.461891,50,3564.986507,3556.836992,3573.136022,49.7,3461.524603,3452.579901,3470.469306
45.49404,4377.092999,4114.839469,4639.34653,45.04,4003.13036,3981.467738,4024.792982,48.31,3887.569709,3871.038776,3904.100643,52,3555.873125,3547.890842,3563.855408,51.5,3455.968252,3447.15762,3464.778884
47,4353.808234,4095.961817,4611.65465,46.57,3988.066576,3966.830714,4009.302438,50,3872.257992,3856.092765,3888.423219,53.5,3549.038481,3541.178722,3556.898239,53.06,3451.15486,3442.458152,3459.851568
48.03,4337.885585,4083.004307,4592.766864,48,3973.994416,3953.149699,3994.839134,51.17,3861.676612,3845.759259,3877.593966,55,3542.204172,3534.464323,3549.944022,54.8,3445.788391,3437.216166,3454.360616
49.35,4317.483359,4066.341235,4568.625483,49,3964.157801,3943.581957,3984.733644,52.5,3849.667127,3834.026052,3865.308201,56,3537.648153,3529.986729,3545.309578,56,3442.0888,3433.600779,3450.576821
50.54,4299.093812,4051.261711,4546.925913,50.14,3952.94813,3932.673922,3973.222337,53.66,3839.209124,3823.804073,3854.614174,57.13,3532.500032,3524.925716,3540.074347,57.33,3437.989776,3429.593459,3446.386093
51.66,4281.788921,4037.017277,4526.560564,51.24,3942.135892,3922.14761,3962.124175,54.59,3830.83575,3815.616489,3846.055012,58.14,3527.898775,3520.400916,3535.396633,58.54,3434.261827,3425.947415,3442.57624
52.6,4267.267357,4025.021782,4509.512932,52.26,3932.113608,3912.385773,3951.841443,55.3,3824.449801,3809.370261,3839.52934,59.14,3523.343225,3515.919722,3530.766728,59.77,3430.473469,3422.240784,3438.706155
53.4,4254.910149,4014.782889,4495.037408,53.08,3924.058995,3904.537154,3943.580837,56,3818.15941,3803.215791,3833.10303,60,3519.425571,3512.064913,3526.78623,60.76,3427.425189,3419.257132,3435.593247
54,4245.64319,4007.085157,4484.201223,54,3915.024784,3895.730342,3934.319226,57,3809.182811,3794.430127,3823.935495,61,3514.870299,3507.581399,3522.159199,61.72,3424.470036,3416.363644,3432.576427
54.9,4231.744275,3995.507944,4467.980605,54.68,3908.349139,3889.220175,3927.478103,57.8,3802.009726,3787.406982,3816.61247,62,3510.315176,3503.096578,3517.533773,62.66,3421.577167,3413.530178,3429.624157
55.44,4223.405802,3988.543578,4458.268027,55.04,3904.815599,3885.773325,3923.857873,58.46,3796.097414,3781.616446,3810.578382,62.85,3506.443439,3499.283422,3513.603455,63.54,3418.869596,3410.87732,3426.861872
56,4214.759193,3981.306662,4448.211723,55.88,3896.572354,3877.729835,3915.414874,59.1,3790.368997,3776.004419,3804.733575,63.6,3503.02729,3495.918041,3510.136538,64.39,3416.254921,3408.314655,3424.195186
57,4199.320577,3968.345732,4430.295422,56.27,3892.745934,3873.994935,3911.496933,60,3782.321298,3768.117508,3796.525087,64.3,3499.83896,3492.7763,3506.90162,65.2,3413.763831,3405.872347,3421.655316
57.6,4190.058491,3960.545317,4419.571665,57,3885.585025,3867.003198,3904.166851,60.55,3777.407797,3763.300573,3791.515021,65,3496.650703,3489.633847,3503.667558,66,3411.304015,3403.459948,3419.148082
