x,y,ci_lower,ci_upper
34.51,3778.829502,3754.295257,3803.363747
39,3753.91857,3730.44151,3777.395631
42,3737.276405,3714.484879,3760.06793
44,3726.182566,3703.8379,3748.527232
46,3715.089478,3693.182963,3736.995994
48,3703.997142,3682.519538,3725.474746
50,3692.905556,3671.847066,3713.964047
51,3687.360045,3666.507253,3708.212837
52.63,3678.321264,3657.797991,3698.844537
54,3670.724638,3650.472574,3690.976701
55,3665.179877,3645.122331,3685.237424
56,3659.635305,3639.769272,3679.501338
56.7,3655.754216,3636.020409,3675.488022
57.43,3651.706892,3632.109332,3671.304452
58,3648.546723,3629.054357,3668.039089
59,3643.002714,3623.692321,3662.313106
60,3637.458892,3618.327109,3656.590675
61,3631.915258,3612.958627,3650.871889
62,3626.371812,3607.586779,3645.156845
62.92,3621.272007,3602.641622,3639.902393
63.32,3619.054751,3600.490619,3637.618882
64,3615.285483,3596.832591,3633.738374
65,3609.7426,3591.450052,3628.035148
66,3604.199905,3586.063748,3622.336062
66.98,3598.768246,3580.781418,3616.755074
67.1,3598.103157,3580.134342,3616.071972
68,3593.115078,3575.279432,3610.950723
69,3587.572946,3569.881214,3605.264677
69.6,3584.247757,3566.640283,3601.85523
70,3582.031001,3564.478816,3599.583187
71,3576.489245,3559.072134,3593.906356
71.54,3573.496775,3556.150708,3590.842841
72,3570.947676,3553.661065,3588.234288
73,3565.406295,3548.245503,3582.567087
73.76,3561.194971,3544.126609,3578.263333
74,3559.865102,3542.825347,3576.904857
75,3554.324096,3537.400494,3571.247699
75.86,3549.558982,3532.731286,3566.386677
76,3548.783279,3531.970843,3565.595714
77,3543.242648,3526.536295,3559.949001
77.84,3538.588664,3521.967421,3555.209908
78,3537.702206,3521.096755,3554.307657
79,3532.161952,3515.652127,3548.671776
79.81,3527.674483,3511.238185,3544.110781
80,3526.621885,3510.202319,3543.04145
81,3521.082006,3504.747244,3537.416767
82,3515.542314,3499.286817,3531.797812
82,3515.542314,3499.286817,3531.797812
83,3510.002811,3493.820956,3526.184665
84,3504.463495,3488.349586,3520.577403
84,3504.463495,3488.349586,3520.577403
85,3498.924366,3482.872635,3514.976098
86,3493.385426,3477.390035,3509.380817
86.4,3491.169902,3475.1954,3507.144405
87,3487.846673,3471.901727,3503.79162
88,3482.308108,3466.407653,3498.208563
89,3476.769731,3460.907766,3492.631696
89.4,3474.554433,3458.706173,3490.402692
90,3471.231542,3455.402021,3487.061062
91,3465.69354,3449.890383,3481.496697
92,3460.155726,3444.372821,3475.938631
93,3454.6181,3438.849312,3470.386887
94,3449.080661,3433.319841,3464.841481
95,3443.54341,3427.784398,3459.302422
96,3438.006347,3422.242983,3453.769711
97,3432.469472,3416.695601,3448.243342
98.03,3426.766687,3410.975574,3442.557799
99.78,3417.077945,3401.242663,3432.913227
101,3410.323848,3394.446769,3426.200927
102,3404.787911,3388.869887,3420.705936
103.01,3399.196806,3383.231363,3415.162249
105,3388.181228,3372.104745,3404.257711
106,3382.646042,3366.505062,3398.787022
107.8,3372.683181,3356.411725,3388.954637
109,3366.041611,3349.673083,3382.41014
110.79,3356.135106,3339.607133,3372.663079
112,3349.43887,3332.79341,3366.084331
114,3338.371315,3321.51499,3355.22764
115.61,3329.462479,3312.421771,3346.503186
117.09,3321.273418,3304.052091,3338.494746
119.1,3310.152448,3292.669364,3327.635532
121.46,3297.095958,3279.282398,3314.909518
124,3283.044803,3264.849132,3301.240473
126,3271.981753,3253.467011,3290.496495
129,3255.388587,3236.367093,3274.41008
131.53,3241.39633,3221.922954,3260.869705
134.8,3223.313256,3203.225202,3243.40131
138,3205.619225,3184.898973,3226.339478
142,3183.50439,3161.955345,3205.053435
146,3161.392559,3138.976365,3183.808753
151,3133.756994,3110.209439,3157.304549
156,3106.126122,3081.401326,3130.850919
163,3067.450787,3041.012574,3093.889001
170,3028.784651,3000.569562,3056.99974
179,2979.084565,2948.5097,3009.659429
191,2912.841437,2879.017615,2946.66526
206,2830.075545,2792.068728,2868.082362
230,2697.737979,2652.848294,2742.627664
275,2449.896504,2391.741569,2508.051439
